,uri,,ref_id,,title,,first_date,,container,
<record><uri>,/repositories/3/archival_objects/346096,</uri><cid>,MC147_c01964,</cid><unittitle>,Seneca and Kinzua Dam,</unittitle><unitdate>,1961-1964,</unitdate><container>,box 274 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346097,</uri><cid>,MC147_c01965,</cid><unittitle>,Six Nations Treaties,</unittitle><unitdate>,1962-1963,</unitdate><container>,box 274 folder 3-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346098,</uri><cid>,MC147_c01966,</cid><unittitle>,Tax Liability,</unittitle><unitdate>,1956-1958,</unitdate><container>,box 274 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346099,</uri><cid>,MC147_c01967,</cid><unittitle>,Tonawanda Seneca,</unittitle><unitdate>,undated,</unitdate><container>,box 274 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346100,</uri><cid>,MC147_c01968,</cid><unittitle>,Tuscarora,</unittitle><unitdate>,1953-1963,</unitdate><container>,box 274 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346101,</uri><cid>,MC147_c01969,</cid><unittitle>,General,</unittitle><unitdate>,1937-1950,</unitdate><container>,box 274 folder 8-9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346102,</uri><cid>,MC147_c01970,</cid><unittitle>,General,</unittitle><unitdate>,1952-1969,</unitdate><container>,box 275 folder 1-3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346103,</uri><cid>,MC147_c01972,</cid><unittitle>,Cumberland County Association for Indian People,</unittitle><unitdate>,1987,</unitdate><container>,box 275 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346104,</uri><cid>,MC147_c01973,</cid><unittitle>,Eastern Cherokee,</unittitle><unitdate>,1937-1963,</unitdate><container>,box 275 folder 5-8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346105,</uri><cid>,MC147_c01974,</cid><unittitle>,Hatteras Tuscarora,</unittitle><unitdate>,1973-1976,</unitdate><container>,box 275 folder 9-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346106,</uri><cid>,MC147_c01975,</cid><unittitle>,Hatteras Tuscarora: Data for Federal Recognition,</unittitle><unitdate>,1909-1939,</unitdate><container>,box 276 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346107,</uri><cid>,MC147_c01976,</cid><unittitle>,Hatteras Tuscarora: Petition for Federal Recognition,</unittitle><unitdate>,1979-1980,</unitdate><container>,box 276 folder 2-3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346108,</uri><cid>,MC147_c01977,</cid><unittitle>,Hatteras Tuscarora: Tribal Membership Roll,</unittitle><unitdate>,undated,</unitdate><container>,box 276 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346109,</uri><cid>,MC147_c01978,</cid><unittitle>,Hoke County Cherokee,</unittitle><unitdate>,1988,</unitdate><container>,box 276 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346110,</uri><cid>,MC147_c01979,</cid><unittitle>,Lumbee,</unittitle><unitdate>,1962-1974,</unitdate><container>,box 276 folder 6-7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346111,</uri><cid>,MC147_c01980,</cid><unittitle>,Pamunkey,</unittitle><unitdate>,1938-1964,</unitdate><container>,box 276 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346112,</uri><cid>,MC147_c01981,</cid><unittitle>,Robeson County Cherokee,</unittitle><unitdate>,1961,</unitdate><container>,box 276 folder 9-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346113,</uri><cid>,MC147_c01982,</cid><unittitle>,Waccamaw,</unittitle><unitdate>,1949-1951,</unitdate><container>,box 276 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346114,</uri><cid>,MC147_c01983,</cid><unittitle>,General,</unittitle><unitdate>,1986,</unitdate><container>,box 277 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346115,</uri><cid>,MC147_c01985,</cid><unittitle>,Allegheny,</unittitle><unitdate>,undated,</unitdate><container>,box 277 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346116,</uri><cid>,MC147_c01987,</cid><unittitle>,Cherokee,</unittitle><unitdate>,1951-1962,</unitdate><container>,box 277 folder 3-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346117,</uri><cid>,MC147_c01988,</cid><unittitle>,Cheyenne-Arapaho,</unittitle><unitdate>,1955-1959,</unitdate><container>,box 277 folder 5-6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346118,</uri><cid>,MC147_c01989,</cid><unittitle>,Chickasaw,</unittitle><unitdate>,1954-1963,</unitdate><container>,box 277 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346119,</uri><cid>,MC147_c01990,</cid><unittitle>,Choctaw,</unittitle><unitdate>,1951-1960,</unitdate><container>,box 277 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346120,</uri><cid>,MC147_c01991,</cid><unittitle>,Creek,</unittitle><unitdate>,1954-1962,</unitdate><container>,box 277 folder 9-11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346121,</uri><cid>,MC147_c01992,</cid><unittitle>,Delaware,</unittitle><unitdate>,1989-1990,</unitdate><container>,box 277 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346122,</uri><cid>,MC147_c01993,</cid><unittitle>,"Five Civilized Tribes (Cherokee, Chickasaw, Choctaw, Creek and Seminole)",</unittitle><unitdate>,1924,</unitdate><container>,box 277 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346123,</uri><cid>,MC147_c01994,</cid><unittitle>,"Five Civilized Tribes (Cherokee, Chickasaw, Choctaw, Creek and Seminole)",</unittitle><unitdate>,1947-1959,</unitdate><container>,box 278 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346124,</uri><cid>,MC147_c01995,</cid><unittitle>,Fort Sill Apache,</unittitle><unitdate>,1958-1961,</unitdate><container>,box 278 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346125,</uri><cid>,MC147_c01996,</cid><unittitle>,Indian Health Care Resource Center of Tulsa,</unittitle><unitdate>,1987,</unitdate><container>,box 278 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346126,</uri><cid>,MC147_c01997,</cid><unittitle>,"""Indian Incarceration Study""",</unittitle><unitdate>,1977,</unitdate><container>,box 278 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346127,</uri><cid>,MC147_c01998,</cid><unittitle>,Kaw,</unittitle><unitdate>,1973,</unitdate><container>,box 278 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346128,</uri><cid>,MC147_c01999,</cid><unittitle>,Kickapoo,</unittitle><unitdate>,1959-1960,</unitdate><container>,box 278 folder 6-7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346129,</uri><cid>,MC147_c02000,</cid><unittitle>,"Kiowa, Comanche and Apache",</unittitle><unitdate>,1956-1963,</unitdate><container>,box 278 folder 8-9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346130,</uri><cid>,MC147_c02001,</cid><unittitle>,Kiowa Tribal Election,</unittitle><unitdate>,1980-1981,</unitdate><container>,box 279 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346131,</uri><cid>,MC147_c02002,</cid><unittitle>,Kiowa Wheelchairs,</unittitle><unitdate>,1987,</unitdate><container>,box 279 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346132,</uri><cid>,MC147_c02003,</cid><unittitle>,Lawton,</unittitle><unitdate>,1949,</unitdate><container>,box 279 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346133,</uri><cid>,MC147_c02004,</cid><unittitle>,Native American Coalition of Tulsa,</unittitle><unitdate>,1983-1986,</unitdate><container>,box 279 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346134,</uri><cid>,MC147_c02005,</cid><unittitle>,Oklahoma Indian Mineral Owners Association,</unittitle><unitdate>,1985,</unitdate><container>,box 279 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346135,</uri><cid>,MC147_c02006,</cid><unittitle>,Osage,</unittitle><unitdate>,1881-1906,</unitdate><container>,box 279 folder 6-12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346136,</uri><cid>,MC147_c02007,</cid><unittitle>,Osage,</unittitle><unitdate>,undated,</unitdate><container>,box 280 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346137,</uri><cid>,MC147_c02008,</cid><unittitle>,"""The Osage People And Their Trust Property""",</unittitle><unitdate>,1953,</unitdate><container>,box 280 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346138,</uri><cid>,MC147_c02009,</cid><unittitle>,Otoe-Missouria,</unittitle><unitdate>,1956,</unitdate><container>,box 280 folder 3-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346139,</uri><cid>,MC147_c02010,</cid><unittitle>,Pawnee,</unittitle><unitdate>,1949-1959,</unitdate><container>,box 280 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346140,</uri><cid>,MC147_c02011,</cid><unittitle>,Quapaw,</unittitle><unitdate>,1953-1959,</unitdate><container>,box 280 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346141,</uri><cid>,MC147_c02012,</cid><unittitle>,Seminole,</unittitle><unitdate>,1957-1960,</unitdate><container>,box 280 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346142,</uri><cid>,MC147_c02013,</cid><unittitle>,"Statue of Sequoyah, Capitol, Washington, D.C.",</unittitle><unitdate>,1963,</unitdate><container>,box 280 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346143,</uri><cid>,MC147_c02014,</cid><unittitle>,Tax Sales,</unittitle><unitdate>,1959,</unitdate><container>,box 280 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346144,</uri><cid>,MC147_c02015,</cid><unittitle>,Welfare Assistance,</unittitle><unitdate>,1957,</unitdate><container>,box 280 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346145,</uri><cid>,MC147_c02016,</cid><unittitle>,Wichita,</unittitle><unitdate>,1949-1950,</unitdate><container>,box 280 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346146,</uri><cid>,MC147_c02017,</cid><unittitle>,Wyandotte,</unittitle><unitdate>,1955-1959,</unitdate><container>,box 280 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346147,</uri><cid>,MC147_c02018,</cid><unittitle>,General,</unittitle><unitdate>,1934-1938,</unitdate><container>,box 280 folder 13-15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346148,</uri><cid>,MC147_c02020,</cid><unittitle>,Burns Paiute,</unittitle><unitdate>,1988,</unitdate><container>,box 280 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346149,</uri><cid>,MC147_c02021,</cid><unittitle>,Celilo Falls,</unittitle><unitdate>,1952-1960,</unitdate><container>,box 280 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346150,</uri><cid>,MC147_c02022,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,1977-1989,</unitdate><container>,box 280 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346151,</uri><cid>,MC147_c02023,</cid><unittitle>,Crow's Shadow Institute,</unittitle><unitdate>,1994,</unitdate><container>,box 280 folder 19 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346152,</uri><cid>,MC147_c02024,</cid><unittitle>,Gold Beach Land Swindle,</unittitle><unitdate>,1952-1960,</unitdate><container>,box 281 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346153,</uri><cid>,MC147_c02025,</cid><unittitle>,Grand Ronde,</unittitle><unitdate>,1987,</unitdate><container>,box 281 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346154,</uri><cid>,MC147_c02026,</cid><unittitle>,Grand Ronde Constitution,</unittitle><unitdate>,1936,</unitdate><container>,box 281 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346155,</uri><cid>,MC147_c02027,</cid><unittitle>,Klamath,</unittitle><unitdate>,1929-1972,</unitdate><container>,box 281 folder 4-7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346156,</uri><cid>,MC147_c02028,</cid><unittitle>,Oregon Council of Churches,</unittitle><unitdate>,1958-1959,</unitdate><container>,box 281 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346157,</uri><cid>,MC147_c02029,</cid><unittitle>,Organization of the Forgotten American,</unittitle><unitdate>,1970-1979,</unitdate><container>,box 281 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346158,</uri><cid>,MC147_c02030,</cid><unittitle>,Warm Springs,</unittitle><unitdate>,1958-1974,</unitdate><container>,box 281 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346159,</uri><cid>,MC147_c02031,</cid><unittitle>,General,</unittitle><unitdate>,1951-1958,</unitdate><container>,box 281 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346160,</uri><cid>,MC147_c02032,</cid><unittitle>,General,</unittitle><unitdate>,1983-1993,</unitdate><container>,box 282 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346161,</uri><cid>,MC147_c02034,</cid><unittitle>,Cornplanter Seneca,</unittitle><unitdate>,1950-1953,</unitdate><container>,box 282 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346162,</uri><cid>,MC147_c02036,</cid><unittitle>,Narragansett,</unittitle><unitdate>,1935-1959,</unitdate><container>,box 282 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346163,</uri><cid>,MC147_c02038,</cid><unittitle>,Catawba,</unittitle><unitdate>,1949-1962,</unitdate><container>,box 282 folder 4-6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346164,</uri><cid>,MC147_c02039,</cid><unittitle>,Grave of Osceola,</unittitle><unitdate>,1968,</unitdate><container>,box 282 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346165,</uri><cid>,MC147_c02040,</cid><unittitle>,"""The Mestizos of South Carolina""",</unittitle><unitdate>,1945,</unitdate><container>,box 282 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346166,</uri><cid>,MC147_c02042,</cid><unittitle>,Etowah Cherokee,</unittitle><unitdate>,1975-1987,</unitdate><container>,box 282 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346167,</uri><cid>,MC147_c02044,</cid><unittitle>,Alabama-Coushatta,</unittitle><unitdate>,1953-1962,</unitdate><container>,box 282 folder 10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346168,</uri><cid>,MC147_c02045,</cid><unittitle>,Federal Recognition of Tribes,</unittitle><unitdate>,1985-1987,</unitdate><container>,box 282 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346169,</uri><cid>,MC147_c02047,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,1969-1977,</unitdate><container>,box 282 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346170,</uri><cid>,MC147_c02048,</cid><unittitle>,Paiute,</unittitle><unitdate>,1982-1984,</unitdate><container>,box 282 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346171,</uri><cid>,MC147_c02049,</cid><unittitle>,True Utes,</unittitle><unitdate>,1959-1961,</unitdate><container>,box 282 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346172,</uri><cid>,MC147_c02050,</cid><unittitle>,Ute,</unittitle><unitdate>,1951-1961,</unitdate><container>,box 283 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346173,</uri><cid>,MC147_c02052,</cid><unittitle>,Abenaki,</unittitle><unitdate>,1990,</unitdate><container>,box 283 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346174,</uri><cid>,MC147_c02053,</cid><unittitle>,Iroquois Claims,</unittitle><unitdate>,1952-1953,</unitdate><container>,box 283 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346175,</uri><cid>,MC147_c02055,</cid><unittitle>,Chickahominy,</unittitle><unitdate>,1942-1959,</unitdate><container>,box 283 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346176,</uri><cid>,MC147_c02056,</cid><unittitle>,Rappahannock,</unittitle><unitdate>,1943,</unitdate><container>,box 283 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346177,</uri><cid>,MC147_c02058,</cid><unittitle>,Chief Joseph Dam,</unittitle><unitdate>,1956,</unitdate><container>,box 283 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346178,</uri><cid>,MC147_c02059,</cid><unittitle>,Child Welfare (Including Tribal-State Agreement),</unittitle><unitdate>,1973-1983,</unitdate><container>,box 283 folder 8-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346179,</uri><cid>,MC147_c02060,</cid><unittitle>,Child Welfare (Including Tribal-State Agreement),</unittitle><unitdate>,1983-1988,</unitdate><container>,box 284 folder 1-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346180,</uri><cid>,MC147_c02061,</cid><unittitle>,Chinook,</unittitle><unitdate>,1953-1959,</unitdate><container>,box 284 folder 6-7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346181,</uri><cid>,MC147_c02062,</cid><unittitle>,Colville,</unittitle><unitdate>,1938-1970,</unitdate><container>,box 284 folder 8-9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346182,</uri><cid>,MC147_c02063,</cid><unittitle>,Colville Lands,</unittitle><unitdate>,1949-1962,</unitdate><container>,box 285 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346183,</uri><cid>,MC147_c02064,</cid><unittitle>,Cowlitz,</unittitle><unitdate>,1975,</unitdate><container>,box 285 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346184,</uri><cid>,MC147_c02065,</cid><unittitle>,Hoh,</unittitle><unitdate>,1973-1974,</unitdate><container>,box 285 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346185,</uri><cid>,MC147_c02066,</cid><unittitle>,Indian Youth Development Committee,</unittitle><unitdate>,1985-1986,</unitdate><container>,box 285 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346186,</uri><cid>,MC147_c02067,</cid><unittitle>,Kalispel,</unittitle><unitdate>,1973,</unitdate><container>,box 285 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346187,</uri><cid>,MC147_c02068,</cid><unittitle>,Law and Order,</unittitle><unitdate>,1959-1963,</unitdate><container>,box 285 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346188,</uri><cid>,MC147_c02069,</cid><unittitle>,Lummi,</unittitle><unitdate>,1951-1976,</unitdate><container>,box 285 folder 7-8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346189,</uri><cid>,MC147_c02070,</cid><unittitle>,Makah,</unittitle><unitdate>,1954-1963,</unitdate><container>,box 285 folder 9-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346190,</uri><cid>,MC147_c02071,</cid><unittitle>,Muckleshoot,</unittitle><unitdate>,1969-1971,</unitdate><container>,box 285 folder 11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346191,</uri><cid>,MC147_c02072,</cid><unittitle>,Nisqually,</unittitle><unitdate>,1957-1976,</unitdate><container>,box 285 folder 12-13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346192,</uri><cid>,MC147_c02073,</cid><unittitle>,Nooksack,</unittitle><unitdate>,1961,</unitdate><container>,box 285 folder 14 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346193,</uri><cid>,MC147_c02074,</cid><unittitle>,Northwest Indian Fisheries Commission,</unittitle><unitdate>,1979-1980,</unitdate><container>,box 285 folder 15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346194,</uri><cid>,MC147_c02075,</cid><unittitle>,Northwest Intertribal Court System,</unittitle><unitdate>,1982,</unitdate><container>,box 285 folder 16 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346195,</uri><cid>,MC147_c02076,</cid><unittitle>,Puyallup,</unittitle><unitdate>,undated,</unitdate><container>,box 285 folder 17 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346196,</uri><cid>,MC147_c02077,</cid><unittitle>,Quileute-Hoh-Queets-Quinault Treaty Fish Commission,</unittitle><unitdate>,1970,</unitdate><container>,box 285 folder 18 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346197,</uri><cid>,MC147_c02078,</cid><unittitle>,Quinault,</unittitle><unitdate>,1952-1962,</unitdate><container>,box 286 folder 1-2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346198,</uri><cid>,MC147_c02079,</cid><unittitle>,Salish,</unittitle><unitdate>,1957,</unitdate><container>,box 286 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346199,</uri><cid>,MC147_c02080,</cid><unittitle>,Samish,</unittitle><unitdate>,1989-1993,</unitdate><container>,box 286 folder 4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346200,</uri><cid>,MC147_c02081,</cid><unittitle>,Skokomish,</unittitle><unitdate>,1960-1962,</unitdate><container>,box 286 folder 5-6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346201,</uri><cid>,MC147_c02082,</cid><unittitle>,Small Tribes Organization of Western Washington,</unittitle><unitdate>,1968-1974,</unitdate><container>,box 286 folder 7-8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346202,</uri><cid>,MC147_c02083,</cid><unittitle>,Snohomish,</unittitle><unitdate>,1989,</unitdate><container>,box 286 folder 9 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346203,</uri><cid>,MC147_c02084,</cid><unittitle>,Squaxin Island,</unittitle><unitdate>,1854,</unitdate><container>,box 286 folder 10-11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346204,</uri><cid>,MC147_c02085,</cid><unittitle>,Swinomish,</unittitle><unitdate>,1956-1960,</unitdate><container>,box 286 folder 12 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346205,</uri><cid>,MC147_c02086,</cid><unittitle>,Tulalip,</unittitle><unitdate>,1959-1962,</unitdate><container>,box 286 folder 13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346206,</uri><cid>,MC147_c02087,</cid><unittitle>,Tulalip,</unittitle><unitdate>,1989,</unitdate><container>,box 287 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346207,</uri><cid>,MC147_c02088,</cid><unittitle>,"""Washington's ‘Landless’ Tribes""",</unittitle><unitdate>,undated,</unitdate><container>,box 287 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346208,</uri><cid>,MC147_c02089,</cid><unittitle>,Western Washington Health Conference,</unittitle><unitdate>,1960-1961,</unitdate><container>,box 287 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346209,</uri><cid>,MC147_c02090,</cid><unittitle>,Yakima,</unittitle><unitdate>,1953-1974,</unitdate><container>,box 287 folder 4-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346210,</uri><cid>,MC147_c02091,</cid><unittitle>,General,</unittitle><unitdate>,1951-1962,</unitdate><container>,box 287 folder 6-8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346211,</uri><cid>,MC147_c02092,</cid><unittitle>,General,</unittitle><unitdate>,1970-1975,</unitdate><container>,box 288 folder 1-4 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346212,</uri><cid>,MC147_c02094,</cid><unittitle>,Anti-Indian Sentiment,</unittitle><unitdate>,1987-1989,</unitdate><container>,box 288 folder 5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346213,</uri><cid>,MC147_c02095,</cid><unittitle>,Apostle Islands,</unittitle><unitdate>,1970,</unitdate><container>,box 288 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346214,</uri><cid>,MC147_c02096,</cid><unittitle>,Bad River Chippewa,</unittitle><unitdate>,1959,</unitdate><container>,box 288 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346215,</uri><cid>,MC147_c02097,</cid><unittitle>,Bad River Chippewa and Madeline Island,</unittitle><unitdate>,1854-1936,</unitdate><container>,box 288 folder 8-10 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346216,</uri><cid>,MC147_c02098,</cid><unittitle>,Child Welfare,</unittitle><unitdate>,1972-1976,</unitdate><container>,box 288 folder 11-13 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346217,</uri><cid>,MC147_c02099,</cid><unittitle>,Chippewa,</unittitle><unitdate>,1959-1967,</unitdate><container>,box 288 folder 14-15 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346218,</uri><cid>,MC147_c02100,</cid><unittitle>,First American Human Services,</unittitle><unitdate>,1982-1986,</unitdate><container>,box 289 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346219,</uri><cid>,MC147_c02101,</cid><unittitle>,Forest County Potawatomi,</unittitle><unitdate>,1932-1937,</unitdate><container>,box 289 folder 2 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346220,</uri><cid>,MC147_c02102,</cid><unittitle>,Great Lakes Inter-Tribal Council,</unittitle><unitdate>,1966-1972,</unitdate><container>,box 289 folder 3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346221,</uri><cid>,MC147_c02103,</cid><unittitle>,Indian Community School of Milwaukee,</unittitle><unitdate>,1971-1973,</unitdate><container>,box 289 folder 4-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346222,</uri><cid>,MC147_c02104,</cid><unittitle>,Lac Courte Oreilles Chippewa,</unittitle><unitdate>,1969-1970,</unitdate><container>,box 289 folder 6 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346223,</uri><cid>,MC147_c02105,</cid><unittitle>,Lac du Flambeau Chippewa,</unittitle><unitdate>,1951-1959,</unitdate><container>,box 289 folder 7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346224,</uri><cid>,MC147_c02106,</cid><unittitle>,Menominee,</unittitle><unitdate>,1950-1975,</unitdate><container>,box 289 folder 8-11 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346225,</uri><cid>,MC147_c02107,</cid><unittitle>,Menominee,</unittitle><unitdate>,undated,</unitdate><container>,box 290 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346226,</uri><cid>,MC147_c02108,</cid><unittitle>,Oneida,</unittitle><unitdate>,1937-1958,</unitdate><container>,box 290 folder 2-5 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346227,</uri><cid>,MC147_c02109,</cid><unittitle>,Oneida and Green Bay and Western Railway Right-of-Way,</unittitle><unitdate>,1867-1937,</unitdate><container>,box 290 folder 6-7 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346228,</uri><cid>,MC147_c02110,</cid><unittitle>,Stockbridge-Munsee Mohican,</unittitle><unitdate>,1937-1974,</unitdate><container>,box 290 folder 8 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346229,</uri><cid>,MC147_c02111,</cid><unittitle>,Stockbridge-Munsee Mohican,</unittitle><unitdate>,1982-1983,</unitdate><container>,box 291 folder 1 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346230,</uri><cid>,MC147_c02112,</cid><unittitle>,Wisconsin Winnebago,</unittitle><unitdate>,1960-1976,</unitdate><container>,box 291 folder 2-3 ,</container></record>
<record><uri>,/repositories/3/archival_objects/346231,</uri><cid>,MC147_c02113,</cid><unittitle>,Wisconsin Winnebago Potch-Chee-Nunk Child Welfare Project,</unittitle><unitdate>,1976-1978,</unitdate><container>,box 291 folder 4 ,</container></record>
